
----------- Ïðîòîêîë ------------ Äàòà: 15.12.2025 18:19:02 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: out.asm
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 2837
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê: 121

------------------------------ ×ËÅÍÛ ÎÒÐßÄÀ, ÇÀÌÅ×ÅÍÍÎÃÎ ÐÀÇÂÅÄ×ÈÊÀÌÈ  ------------------------

| ¹ | ÇÀÌÅ×ÅÍÍÛÉ | ÌÅÑÒÎ | ÏÎÇÈÖÈß Â ÒÒ|
|199 |    =       |   55  |             |
|200 |    l       |   55  |      32     |
|201 |    ;       |   55  |             |
|202 |    o       |   56  |             |
|203 |    l       |   56  |      33     |
|204 |    ;       |   56  |             |
|205 |    o       |   56  |             |
|206 |    i       |   56  |      28     |
|207 |    ;       |   56  |             |
|208 |    ^       |   56  |             |
|209 |    ;       |   56  |             |
|210 |    q       |   58  |             |
|211 |    (       |   58  |             |
|212 |    i       |   58  |      28     |
|213 |    )       |   58  |             |
|214 |    [       |   58  |             |
|215 |    v       |   59  |             |
|216 |    l       |   59  |      21     |
|217 |    [       |   59  |             |
|218 |    o       |   60  |             |
|219 |    l       |   60  |      34     |
|220 |    ;       |   60  |             |
|221 |    ^       |   60  |             |
|222 |    ;       |   60  |             |
|223 |    i       |   61  |      31     |
|224 |    =       |   61  |             |
|225 |    l       |   61  |      35     |
|226 |    ;       |   61  |             |
|227 |    g       |   62  |             |
|228 |    ;       |   62  |             |
|229 |    ]       |   63  |             |
|230 |    v       |   64  |             |
|231 |    l       |   64  |      36     |
|232 |    [       |   64  |             |
|233 |    o       |   65  |             |
|234 |    l       |   65  |      37     |
|235 |    ;       |   65  |             |
|236 |    ^       |   65  |             |
|237 |    ;       |   65  |             |
|238 |    i       |   66  |      28     |
|239 |    =       |   66  |             |
|240 |    l       |   66  |      38     |
|241 |    ;       |   66  |             |
|242 |    g       |   67  |             |
|243 |    ;       |   67  |             |
|244 |    ]       |   68  |             |
|245 |    d       |   69  |             |
|246 |    [       |   69  |             |
|247 |    o       |   70  |             |
|248 |    l       |   70  |      39     |
|249 |    ;       |   70  |             |
|250 |    ^       |   70  |             |
|251 |    ;       |   70  |             |
|252 |    g       |   71  |             |
|253 |    ;       |   71  |             |
|254 |    ]       |   72  |             |
|255 |    v       |   73  |             |
|256 |    l       |   73  |      30     |
|257 |    [       |   73  |             |
|258 |    o       |   74  |             |
|259 |    l       |   74  |      40     |
|260 |    ;       |   74  |             |
|261 |    ^       |   74  |             |
|262 |    ;       |   74  |             |
|263 |    g       |   75  |             |
|264 |    ;       |   75  |             |
|265 |    ]       |   76  |             |
|266 |    ]       |   77  |             |
|267 |    ^       |   79  |             |
|268 |    ;       |   79  |             |
|269 |    o       |   80  |             |
|270 |    i       |   80  |      31     |
|271 |    ;       |   80  |             |
|272 |    ^       |   81  |             |
|273 |    ;       |   81  |             |
|274 |    o       |   82  |             |
|275 |    i       |   82  |      28     |
|276 |    ;       |   82  |             |
|277 |    ^       |   83  |             |
|278 |    ;       |   83  |             |
|279 |    i       |   84  |       0     |
|280 |    (       |   84  |             |
|281 |    l       |   84  |      41     |
|282 |    )       |   84  |             |
|283 |    ;       |   84  |             |
|284 |    n       |   86  |             |
|285 |    t       |   86  |             |
|286 |    i       |   86  |      42     |
|287 |    =       |   86  |             |
|288 |    l       |   86  |      22     |
|289 |    ;       |   86  |             |
|290 |    n       |   87  |             |
|291 |    t       |   87  |             |
|292 |    i       |   87  |      43     |
|293 |    =       |   87  |             |
|294 |    l       |   87  |      38     |
|295 |    ;       |   87  |             |
|296 |    n       |   89  |             |
|297 |    t       |   89  |             |
|298 |    i       |   89  |      44     |
|299 |    =       |   89  |             |
|300 |    l       |   89  |      45     |
|301 |    ;       |   89  |             |
|302 |    n       |   90  |             |
|303 |    t       |   90  |             |
|304 |    i       |   90  |      46     |
|305 |    =       |   90  |             |
|306 |    l       |   90  |      47     |
|307 |    ;       |   90  |             |
|308 |    n       |   91  |             |
|309 |    t       |   91  |             |
|310 |    i       |   91  |      48     |
|311 |    =       |   91  |             |
|312 |    l       |   91  |      49     |
|313 |    ;       |   91  |             |
|314 |    n       |   93  |             |
|315 |    t       |   93  |             |
|316 |    i       |   93  |      50     |
|317 |    =       |   93  |             |
|318 |    (       |   93  |             |
|319 |    l       |   93  |      19     |
|320 |    +       |   93  |             |
|321 |    l       |   93  |      51     |
|322 |    )       |   93  |             |
|323 |    *       |   93  |             |
|324 |    (       |   93  |             |
|325 |    l       |   93  |      52     |
|326 |    -       |   93  |             |
|327 |    l       |   93  |      36     |
|328 |    )       |   93  |             |
|329 |    +       |   93  |             |
|330 |    i       |   93  |      46     |
|331 |    /       |   93  |             |
|332 |    i       |   93  |      44     |
|333 |    +       |   93  |             |
|334 |    i       |   93  |      48     |
|335 |    ;       |   93  |             |
|336 |    o       |   94  |             |
|337 |    i       |   94  |      50     |
|338 |    ;       |   94  |             |
|339 |    ^       |   95  |             |
|340 |    ;       |   95  |             |
|341 |    n       |   97  |             |
|342 |    t       |   97  |             |
|343 |    i       |   97  |      53     |
|344 |    =       |   97  |             |
|345 |    (       |   97  |             |
|346 |    l       |   97  |      22     |
|347 |    z       |   97  |             |
|348 |    l       |   97  |      38     |
|349 |    )       |   97  |             |
|350 |    +       |   97  |             |
|351 |    l       |   97  |      51     |
|352 |    *       |   97  |             |
|353 |    l       |   97  |      36     |
|354 |    -       |   97  |             |
|355 |    j       |   97  |             |
|356 |    l       |   97  |      54     |
|357 |    ;       |   97  |             |
|358 |    o       |   98  |             |
|359 |    i       |   98  |      53     |
|360 |    ;       |   98  |             |
|361 |    ^       |   99  |             |
|362 |    ;       |   99  |             |
|363 |    o       |  101  |             |
|364 |    l       |  101  |      55     |
|365 |    ;       |  101  |             |
|366 |    o       |  101  |             |
|367 |    i       |  101  |      42     |
|368 |    ;       |  101  |             |
|369 |    ^       |  101  |             |
|370 |    ;       |  101  |             |
|371 |    n       |  103  |             |
|372 |    t       |  103  |             |
|373 |    i       |  103  |      56     |
|374 |    =       |  103  |             |
|375 |    l       |  103  |      19     |
|376 |    ;       |  103  |             |
|377 |    n       |  104  |             |
|378 |    t       |  104  |             |
|379 |    i       |  104  |      57     |
|380 |    =       |  104  |             |
|381 |    l       |  104  |      30     |
|382 |    ;       |  104  |             |
|383 |    n       |  105  |             |
|384 |    t       |  105  |             |
|385 |    i       |  105  |      58     |
|386 |    ;       |  105  |             |
|387 |    i       |  107  |      58     |
|388 |    =       |  107  |             |
|389 |    i       |  107  |      56     |
|390 |    z       |  107  |             |
|391 |    i       |  107  |      57     |
|392 |    ;       |  107  |             |
|393 |    o       |  108  |             |
|394 |    l       |  108  |      59     |
|395 |    ;       |  108  |             |
|396 |    o       |  108  |             |
|397 |    i       |  108  |      58     |
|398 |    ;       |  108  |             |
|399 |    ^       |  108  |             |
|400 |    ;       |  108  |             |
|401 |    i       |  110  |      58     |
|402 |    =       |  110  |             |
|403 |    i       |  110  |      56     |
|404 |    x       |  110  |             |
|405 |    i       |  110  |      57     |
|406 |    ;       |  110  |             |
|407 |    o       |  111  |             |
|408 |    l       |  111  |      60     |
|409 |    ;       |  111  |             |
|410 |    o       |  111  |             |
|411 |    i       |  111  |      58     |
|412 |    ;       |  111  |             |
|413 |    ^       |  111  |             |
|414 |    ;       |  111  |             |
|415 |    n       |  113  |             |
|416 |    t       |  113  |             |
|417 |    i       |  113  |      61     |
|418 |    =       |  113  |             |
|419 |    j       |  113  |             |
|420 |    i       |  113  |      56     |
|421 |    ;       |  113  |             |
|422 |    o       |  114  |             |
|423 |    l       |  114  |      62     |
|424 |    ;       |  114  |             |
|425 |    o       |  114  |             |
|426 |    i       |  114  |      61     |
|427 |    ;       |  114  |             |
|428 |    ^       |  114  |             |
|429 |    ;       |  114  |             |
|430 |    n       |  117  |             |
|431 |    t       |  117  |             |
|432 |    i       |  117  |      63     |
|433 |    =       |  117  |             |
|434 |    l       |  117  |      64     |
|435 |    ;       |  117  |             |
|436 |    n       |  118  |             |
|437 |    t       |  118  |             |
|438 |    i       |  118  |      65     |
|439 |    =       |  118  |             |
|440 |    l       |  118  |      66     |
|441 |    ;       |  118  |             |
|442 |    o       |  119  |             |
|443 |    i       |  119  |      63     |
|444 |    ;       |  119  |             |
|445 |    o       |  119  |             |
|446 |    i       |  119  |      65     |
|447 |    ;       |  119  |             |
|448 |    ^       |  119  |             |
|449 |    ;       |  119  |             |
|450 |    ]       |  121  |             |
---------------------------- ÒÓÐÍÈÐÍÀß ÒÀÁËÈÖÀ ------------------------

|  ¹¹ |ÑÒÐÎÊÀ Â ÒÒ| ÎÏÈÑÀÍÈÅ Ó×ÀÑÒÍÈÊÀ |       ÐÎÄÎÂÎÅ ÈÌß                 | ÐÎÄÎÂÎÅ ÄÅÐÅÂÎ (ÒÅÊÓÙÅÅ ÏÎÊÎËÅÍÈÅ)
|   0   |     2     | hollow  function   |                          proclaim | P0:scroll |
|   1   |     5     | scroll parameter   |                     proclaimtitle |
|   2   |     9     | scroll   literal   |                             LTRL1 |[4]--- 
|   3   |    15     | scroll   literal   |                             LTRL2 |[4] ---
|   4   |    24     | squire  function   |                           calctax | P0:squire | P1:squire |
|   5   |    27     | squire parameter   |                     calctaxincome |
|   6   |    30     | squire parameter   |                       calctaxrate |
|   7   |    35     | squire  variable   |                     calctaxresult |0
|   8   |    45     | squire   literal   |                             LTRL3 |100
|   9   |    55     | scroll   literal   |                             LTRL4 |[21]KINGDOM STATUS REPORT
|  10   |    60     | squire  variable   |                        templegold |0
|  11   |    66     | squire  variable   |                     templetaxrate |0
|  12   |    68     | squire   literal   |                             LTRL5 |15
|  13   |    72     | squire  variable   |                         templetax |0
|  14   |    84     | scroll   literal   |                             LTRL6 |[11]Base Gold: 
|  15   |    93     | scroll   literal   |                             LTRL7 |[13]ARMY TRAINING
|  16   |    98     | squire  variable   |                     templeknights |0
|  17   |   100     | squire   literal   |                             LTRL8 |0
|  18   |   104     | squire  variable   |                      templemaxkni |0
|  19   |   106     | squire   literal   |                             LTRL9 |5
|  20   |   116     | scroll   literal   |                            LTRL10 |[24]Training knight number: 
|  21   |   127     | squire   literal   |                            LTRL11 |1
|  22   |   133     | squire   literal   |                            LTRL12 |10
|  23   |   150     | scroll   literal   |                            LTRL13 |[23]Knight are so Rich!!)))
|  24   |   154     | squire   literal   |                            LTRL14 |120
|  25   |   162     | scroll   literal   |                            LTRL15 |[23]Knight are so boring(((
|  26   |   167     | scroll   literal   |                            LTRL16 |[14]Army is ready!
|  27   |   180     | scroll   literal   |                            LTRL17 |[18]WEAPONRY SELECTION
|  28   |   185     | squire  variable   |                        templeweap |0
|  29   |   189     | squire  KNIGHTFUN  |                           fortune | P0:squire | P1:squire |
|  30   |   193     | squire   literal   |                            LTRL18 |3
|  31   |   198     | scroll  variable   |                    templepiligrim |[0]
|  32   |   200     | scroll   literal   |                            LTRL19 |[10]Dragonborn
|  33   |   203     | scroll   literal   |                            LTRL20 |[29]Blacksmith forged weapon ID: 
|  34   |   219     | scroll   literal   |                            LTRL21 |[16]We have a Sword!
|  35   |   225     | scroll   literal   |                            LTRL22 |[18]Scout of the Earth
|  36   |   231     | squire   literal   |                            LTRL23 |2
|  37   |   234     | scroll   literal   |                            LTRL24 |[14]We have a Bow!
|  38   |   240     | squire   literal   |                            LTRL25 |8
|  39   |   248     | scroll   literal   |                            LTRL26 |[33]Peasants will fight with forks...
|  40   |   259     | scroll   literal   |                            LTRL27 |[15]We have an Axe!
|  41   |   281     | scroll   literal   |                            LTRL28 |[15]MAGIC AND RUNES
|  42   |   286     | squire  variable   |                        templemana |10
|  43   |   292     | squire  variable   |                        templecost |0
|  44   |   298     | squire  variable   |                       templeitemi |0
|  45   |   300     | squire   literal   |                            LTRL29 |7
|  46   |   304     | squire  variable   |                      templeitemik |0
|  47   |   306     | squire   literal   |                            LTRL30 |14
|  48   |   310     | squire  variable   |                      templeitemif |0
|  49   |   312     | squire   literal   |                            LTRL31 |20
|  50   |   316     | squire  variable   |                       templeresik |0
|  51   |   321     | squire   literal   |                            LTRL32 |6
|  52   |   325     | squire   literal   |                            LTRL33 |4
|  53   |   343     | squire  variable   |                 templeresultichek |0
|  54   |   356     | squire   literal   |                            LTRL34 |-6
|  55   |   364     | scroll   literal   |                            LTRL35 |[25]Mana (octal o12 -> dec): 
|  56   |   373     | squire  variable   |                       templepower |0
|  57   |   379     | squire  variable   |                    templeartifact |0
|  58   |   385     | squire  variable   |                    templecombined |0
|  59   |   394     | scroll   literal   |                            LTRL36 |[21]Bitwise AND (5 & 3): 
|  60   |   408     | scroll   literal   |                            LTRL37 |[20]Bitwise OR (5 | 3): 
|  61   |   417     | squire  variable   |                      templecursed |0
|  62   |   423     | scroll   literal   |                            LTRL38 |[18]Bitwise NOT (~5): 
|  63   |   432     |   rune  variable   |                       templerunic |[0]
|  64   |   434     |   rune   literal   |                            LTRL39 |[1]A
|  65   |   438     |   rune  variable   |                       templeranik |[0]
|  66   |   440     |   rune   literal   |                            LTRL40 |[1]u

-------------------------------------------------------------------------


-----------------  ÑÂÈÒÎÊ, ÏÎËÓ×ÅÍÍÛÉ ÁËÀÃÎÄÀÐß ÐÀÇÂÅÄÊÅ ---------------------

  1 | pfi[0](ti[1])
  2 | [
  3 | ol[2];
  4 | oi[1];
  5 | ol[3];
  6 | ^;
  7 | e;
  8 | ]
 10 | tfi[4](ti[5],ti[6])
 11 | [
 12 | nti[7];
 13 | i[7]=(i[5]*i[6])/l[8];
 14 | ei[7];
 15 | ]
 17 | m
 18 | [
 19 | i[0](l[9]);
 20 | nti[10]=l[8];
 21 | nti[11]=l[12];
 22 | nti[13];
 23 | i[13]=i[4](i[10],i[11]);
 25 | ol[14];oi[10];^;
 26 | i[0](l[15]);
 28 | nti[16]=l[17];
 29 | nti[18]=l[19];
 31 | ?i[16]@i[18]#
 32 | c[
 33 | ol[20];
 34 | oi[16];
 35 | ^;
 36 | i[16]=i[16]+l[21];
 37 | i[10]=i[10]+l[22];
 38 | ]#
 40 | oi[10];
 41 | ^;
 43 | ?i[10]~l[8]#
 44 | w[ol[23];i[10]=l[24];^;]
 45 | r[ol[25];]#
 47 | ol[26];^;oi[10];^;
 49 | ^;
 50 | i[0](l[27]);
 52 | nti[28];
 53 | i[28]=i[29](l[21],l[30]);
 55 | nti[31]=l[32];
 56 | ol[33];oi[28];^;
 58 | q(i[28])[
 59 | vl[21][
 60 | ol[34];^;
 61 | i[31]=l[35];
 62 | g;
 63 | ]
 64 | vl[36][
 65 | ol[37];^;
 66 | i[28]=l[38];
 67 | g;
 68 | ]
 69 | d[
 70 | ol[39];^;
 71 | g;
 72 | ]
 73 | vl[30][
 74 | ol[40];^;
 75 | g;
 76 | ]
 77 | ]
 79 | ^;
 80 | oi[31];
 81 | ^;
 82 | oi[28];
 83 | ^;
 84 | i[0](l[41]);
 86 | nti[42]=l[22];
 87 | nti[43]=l[38];
 89 | nti[44]=l[45];
 90 | nti[46]=l[47];
 91 | nti[48]=l[49];
 93 | nti[50]=(l[19]+l[51])*(l[52]-l[36])+i[46]/i[44]+i[48];
 94 | oi[50];
 95 | ^;
 97 | nti[53]=(l[22]zl[38])+l[51]*l[36]-jl[54];
 98 | oi[53];
 99 | ^;
101 | ol[55];oi[42];^;
103 | nti[56]=l[19];
104 | nti[57]=l[30];
105 | nti[58];
107 | i[58]=i[56]zi[57];
108 | ol[59];oi[58];^;
110 | i[58]=i[56]xi[57];
111 | ol[60];oi[58];^;
113 | nti[61]=ji[56];
114 | ol[62];oi[61];^;
117 | nti[63]=l[64];
118 | nti[65]=l[66];
119 | oi[63];oi[65];^;
121 | ]
-------------------------------------------------------------------------

Øàã :Çàêîí               Î÷åðåäü                       Ñâèòîê              
0   :S->pfiPGS           pfi(ti)[ol;oi;ol;^;e;]tfi     S$                  
1   : SAVESTATE:          1
1   :                    pfi(ti)[ol;oi;ol;^;e;]tfi     pfiPGS$             
2   :                    fi(ti)[ol;oi;ol;^;e;]tfi(     fiPGS$              
3   :                    i(ti)[ol;oi;ol;^;e;]tfi(t     iPGS$               
4   :                    (ti)[ol;oi;ol;^;e;]tfi(ti     PGS$                
5   :P->(E)              (ti)[ol;oi;ol;^;e;]tfi(ti     PGS$                
6   : SAVESTATE:          2
6   :                    (ti)[ol;oi;ol;^;e;]tfi(ti     (E)GS$              
7   :                    ti)[ol;oi;ol;^;e;]tfi(ti,     E)GS$               
8   :E->ti,E             ti)[ol;oi;ol;^;e;]tfi(ti,     E)GS$               
9   : SAVESTATE:          3
9   :                    ti)[ol;oi;ol;^;e;]tfi(ti,     ti,E)GS$            
10  :                    i)[ol;oi;ol;^;e;]tfi(ti,t     i,E)GS$             
11  :                    )[ol;oi;ol;^;e;]tfi(ti,ti     ,E)GS$              
12  : TS_NOK/NS_NORULECHÀIN
12  : RESSTATE            
12  :                    ti)[ol;oi;ol;^;e;]tfi(ti,     E)GS$               
13  :E->ti               ti)[ol;oi;ol;^;e;]tfi(ti,     E)GS$               
14  : SAVESTATE:          3
14  :                    ti)[ol;oi;ol;^;e;]tfi(ti,     ti)GS$              
15  :                    i)[ol;oi;ol;^;e;]tfi(ti,t     i)GS$               
16  :                    )[ol;oi;ol;^;e;]tfi(ti,ti     )GS$                
17  :                    [ol;oi;ol;^;e;]tfi(ti,ti)     GS$                 
18  :G->[e;]             [ol;oi;ol;^;e;]tfi(ti,ti)     GS$                 
19  : SAVESTATE:          4
19  :                    [ol;oi;ol;^;e;]tfi(ti,ti)     [e;]S$              
20  :                    ol;oi;ol;^;e;]tfi(ti,ti)[     e;]S$               
21  : TS_NOK/NS_NORULECHÀIN
21  : RESSTATE            
21  :                    [ol;oi;ol;^;e;]tfi(ti,ti)     GS$                 
22  :G->[Ke;]            [ol;oi;ol;^;e;]tfi(ti,ti)     GS$                 
23  : SAVESTATE:          4
23  :                    [ol;oi;ol;^;e;]tfi(ti,ti)     [Ke;]S$             
24  :                    ol;oi;ol;^;e;]tfi(ti,ti)[     Ke;]S$              
25  :K->oV;K             ol;oi;ol;^;e;]tfi(ti,ti)[     Ke;]S$              
26  : SAVESTATE:          5
26  :                    ol;oi;ol;^;e;]tfi(ti,ti)[     oV;Ke;]S$           
27  :                    l;oi;ol;^;e;]tfi(ti,ti)[n     V;Ke;]S$            
28  :V->l                l;oi;ol;^;e;]tfi(ti,ti)[n     V;Ke;]S$            
29  : SAVESTATE:          6
29  :                    l;oi;ol;^;e;]tfi(ti,ti)[n     l;Ke;]S$            
30  :                    ;oi;ol;^;e;]tfi(ti,ti)[nt     ;Ke;]S$             
31  :                    oi;ol;^;e;]tfi(ti,ti)[nti     Ke;]S$              
32  :K->oV;K             oi;ol;^;e;]tfi(ti,ti)[nti     Ke;]S$              
33  : SAVESTATE:          7
33  :                    oi;ol;^;e;]tfi(ti,ti)[nti     oV;Ke;]S$           
34  :                    i;ol;^;e;]tfi(ti,ti)[nti;     V;Ke;]S$            
35  :V->i                i;ol;^;e;]tfi(ti,ti)[nti;     V;Ke;]S$            
36  : SAVESTATE:          8
36  :                    i;ol;^;e;]tfi(ti,ti)[nti;     i;Ke;]S$            
37  :                    ;ol;^;e;]tfi(ti,ti)[nti;i     ;Ke;]S$             
38  :                    ol;^;e;]tfi(ti,ti)[nti;i=     Ke;]S$              
39  :K->oV;K             ol;^;e;]tfi(ti,ti)[nti;i=     Ke;]S$              
40  : SAVESTATE:          9
40  :                    ol;^;e;]tfi(ti,ti)[nti;i=     oV;Ke;]S$           
41  :                    l;^;e;]tfi(ti,ti)[nti;i=(     V;Ke;]S$            
42  :V->l                l;^;e;]tfi(ti,ti)[nti;i=(     V;Ke;]S$            
43  : SAVESTATE:          10
43  :                    l;^;e;]tfi(ti,ti)[nti;i=(     l;Ke;]S$            
44  :                    ;^;e;]tfi(ti,ti)[nti;i=(i     ;Ke;]S$             
45  :                    ^;e;]tfi(ti,ti)[nti;i=(i*     Ke;]S$              
46  :K->^;K              ^;e;]tfi(ti,ti)[nti;i=(i*     Ke;]S$              
47  : SAVESTATE:          11
47  :                    ^;e;]tfi(ti,ti)[nti;i=(i*     ^;Ke;]S$            
48  :                    ;e;]tfi(ti,ti)[nti;i=(i*i     ;Ke;]S$             
49  :                    e;]tfi(ti,ti)[nti;i=(i*i)     Ke;]S$              
50  : TNS_NORULECHAIN/NS_NORULE
50  : RESSTATE            
50  :                    ^;e;]tfi(ti,ti)[nti;i=(i*     Ke;]S$              
